designator,catalog,name,period,inclination,apogee,perigee,eccentricity,date,launch,tle1,tle2
2019-074A,44713,STARLINK-1007,95.85,53.0,561,559,0.0001318,11.11.2019,1-60,1 44713U 19074A   20094.58334491  .00001652  00000-0  14394-3 0  9990,2 44713  52.9984 190.2539 0001377  76.1007 313.9675 15.02311729  1710
2019-074B,44714,STARLINK-1008,95.64,53.01,550,549,0.0001179,11.11.2019,1-60,1 44714U 19074B   20094.58334491  .00000622  00000-0  61849-4 0  9995,2 44714  53.0055 190.6160 0001405  74.7303 199.2406 15.05561830 22466
2019-074C,44715,STARLINK-1009,95.64,52.99,551,549,0.0001244,11.11.2019,1-60,1 44715U 19074C   20094.58334491  .00002366  00000-0  18144-3 0  9992,2 44715  52.9934 190.6743 0001316  86.0349 241.8882 15.05585259 22457
2019-074D,44716,STARLINK-1010,95.96,53.0,566,564,0.00014330000000000001,11.11.2019,1-60,1 44716U 19074D   20094.58334491  .00004027  00000-0  33517-3 0  9990,2 44716  52.9994 187.7039 0001469  68.6764 134.6428 15.00711150 22502
2019-074E,44717,STARLINK-1011,95.64,53.0,551,549,0.000125,11.11.2019,1-60,1 44717U 19074E   20094.58334491 -.00019240  00000-0 -13042-2 0  9996,2 44717  52.9997 210.6500 0001208 103.6788  96.1165 15.05598845  1711
2019-074F,44718,STARLINK-1012,95.65,53.0,551,549,0.00010209999999999999,11.11.2019,1-60,1 44718U 19074F   20094.57598918  .00002907  00000-0  21849-3 0  9997,2 44718  52.9995 190.6821 0000885  83.7679 276.3409 15.05600152 22283
2019-074G,44719,STARLINK-1013,95.64,53.0,550,549,0.00011240000000000001,11.11.2019,1-60,1 44719U 19074G   20094.58334491 -.00000885  00000-0 -41585-4 0  9998,2 44719  52.9979 190.6517 0001210  84.9468 260.9852 15.05565078 22457
2019-074H,44720,STARLINK-1014,95.11,53.01,527,520,0.0005127999999999999,11.11.2019,1-60,1 44720U 19074H   20094.58334491  .04465518  00000-0  21634+0 0  9998,2 44720  53.0077 190.9669 0003985 271.3838 169.1722 15.13764723 22458
2019-074J,44721,STARLINK-1015,95.64,52.99,551,549,0.000146,11.11.2019,1-60,1 44721U 19074J   20094.58334491  .00004552  00000-0  33119-3 0  9997,2 44721  52.9879 190.7071 0001501  81.3634 228.5263 15.05603373 22451
2019-074K,44722,STARLINK-1016,95.64,53.01,551,549,0.00012529999999999998,11.11.2019,1-60,1 44722U 19074K   20094.58334491  .00003727  00000-0  27474-3 0  9998,2 44722  53.0086 190.6043 0001359  71.7063 220.2441 15.05589166  1718
2019-074L,44723,STARLINK-1017,95.64,53.0,551,549,0.00014869999999999998,11.11.2019,1-60,1 44723U 19074L   20094.58334491  .00012293  00000-0  86176-3 0  9991,2 44723  52.9985 190.6492 0001568  71.9882 147.9160 15.05563401  1713
2019-074M,44724,STARLINK-1019,95.64,53.0,551,549,0.0001453,11.11.2019,1-60,1 44724U 19074M   20094.58334491 -.00009165  00000-0 -61091-3 0  9997,2 44724  53.0006 190.6534 0001354  85.3578 332.6078 15.05564733  1711
2019-074N,44725,STARLINK-1020,95.64,53.0,551,549,0.00014,11.11.2019,1-60,1 44725U 19074N   20094.58334491 -.00019022  00000-0 -12892-2 0  9995,2 44725  52.9984 210.6488 0001463 110.1298 233.6317 15.05598019  1713
2019-074P,44726,STARLINK-1021,95.64,53.0,551,549,0.00012819999999999997,11.11.2019,1-60,1 44726U 19074P   20094.58334491 -.00006290  00000-0 -41299-3 0  9993,2 44726  52.9987 190.6515 0001308  84.1581 351.7595 15.05572560  1711
2019-074Q,44727,STARLINK-1022,95.64,53.03,551,549,0.0001616,11.11.2019,1-60,1 44727U 19074Q   20094.58334491 -.00031104  00000-0 -21243-2 0  9992,2 44727  53.0248 230.5196 0001675 107.7392  38.2593 15.05591297 21919
2019-074R,44728,STARLINK-1023,95.85,53.0,560,559,0.00011200000000000001,11.11.2019,1-60,1 44728U 19074R   20094.58334491 -.00005616  00000-0 -40054-3 0  9994,2 44728  53.0001 189.4529 0001145  82.6242  19.1145 15.02320810 22477
2019-074S,44729,STARLINK-1024,95.64,53.0,551,549,0.0001271,11.11.2019,1-60,1 44729U 19074S   20094.58334491 -.00014520  00000-0 -97889-3 0  9997,2 44729  52.9996 210.6440 0001301 104.8019 148.9620 15.05600049 22186
2019-074T,44730,STARLINK-1025,95.64,53.0,551,549,0.00013330000000000001,11.11.2019,1-60,1 44730U 19074T   20094.58334491 -.00000019  00000-0  17843-4 0  9999,2 44730  53.0004 190.6469 0001419  73.3263 164.5777 15.05562024  1712
2019-074U,44731,STARLINK-1026,95.64,53.0,550,549,0.0001129,11.11.2019,1-60,1 44731U 19074U   20094.58334491 -.00002677  00000-0 -16464-3 0  9990,2 44731  52.9989 190.6507 0001211  68.1539 295.7522 15.05580660  1715
2019-074V,44732,STARLINK-1027,96.06,53.0,571,569,0.0001207,11.11.2019,1-60,1 44732U 19074V   20094.58334491 -.00013113  00000-0 -10490-2 0  9990,2 44732  52.9982 209.9516 0001322  81.5806 316.6668 14.99097542  1710
2019-074W,44733,STARLINK-1028,95.64,53.0,551,549,0.00012919999999999997,11.11.2019,1-60,1 44733U 19074W   20094.58334491 -.00007643  00000-0 -50587-3 0  9994,2 44733  52.9992 190.6519 0001323  71.9719  21.9499 15.05584546  1719
2019-074X,44734,STARLINK-1029,92.28,53.0,390,382,0.0006046000000000001,11.11.2019,1-60,1 44734U 19074X   20094.60209469  .00003762  00000-0  51013-4 0  9996,2 44734  52.9982 182.4625 0005989  70.1267 290.0389 15.60500409 22400
2019-074Y,44735,STARLINK-1030,95.64,53.0,551,549,0.00012209999999999999,11.11.2019,1-60,1 44735U 19074Y   20094.58334491 -.00018582  00000-0 -12598-2 0  9999,2 44735  52.9977 210.6511 0001282 114.4031 247.3763 15.05570723  1713
2019-074Z,44736,STARLINK-1031,95.8,53.0,560,555,0.000375,11.11.2019,1-60,1 44736U 19074Z   20094.58334491  .07438555  00000-0  48339+0 0  9990,2 44736  53.0007 209.1485 0004250  36.8162 321.7213 15.01925685 22204
2019-074AA,44737,STARLINK-1032,95.64,53.0,550,549,0.00010669999999999999,11.11.2019,1-60,1 44737U 19074AA  20094.58334491 -.00005148  00000-0 -33442-3 0  9997,2 44737  53.0002 210.6425 0001072  82.8131 134.9394 15.05576243 22184
2019-074AB,44738,STARLINK-1033,95.64,52.99,551,549,0.00015719999999999997,11.11.2019,1-60,1 44738U 19074AB  20094.58334491 -.00011270  00000-0 -75549-3 0  9995,2 44738  52.9934 210.6816 0001615 115.0190 174.7405 15.05579669 22177
