from,to,start,end,duration,access
4,1,1588054915,1588055305,390,1
1,3,1588055605,1588056085,480,2
3,1,1588055605,1588056085,480,28
1,5,1588058155,1588058605,450,4
5,1,1588058155,1588058605,450,5
1,3,1588064215,1588064695,480,10
3,1,1588067065,1588067545,480,37
1,3,1588067065,1588067545,480,13
3,5,1588070725,1588071175,450,41
5,3,1588070725,1588071175,450,42
3,1,1588072795,1588073275,480,43
1,3,1588072795,1588073275,480,15
3,1,1588075675,1588076155,480,46
1,3,1588075675,1588076155,480,16
3,1,1588087165,1588087645,480,57
1,3,1588087165,1588087645,480,20
3,6,1588092355,1588092895,540,63
3,5,1588094845,1588095355,510,65
